# wave, tp
5.000000000000000000e+04,1.762785136175931411e-01
5.017762045545318688e+04,1.771053315252948124e-01
5.035524091090636648e+04,1.779337389348186194e-01
5.053286136635956063e+04,1.787638680871301011e-01
5.071048182181274024e+04,1.795945880496095659e-01
5.088810227726592711e+04,1.834127075250909511e-01
5.106572273271910672e+04,1.885627072271527094e-01
5.124334318817229359e+04,1.937496452042069273e-01
5.142096364362548047e+04,1.989725517629964968e-01
5.159858409907866735e+04,2.037744532409148379e-01
5.177620455453184695e+04,2.078007726595151039e-01
5.195382500998503383e+04,2.118534021190756067e-01
5.213144546543821343e+04,2.159313998087199205e-01
5.230906592089140759e+04,2.184870107418865337e-01
5.248668637634458719e+04,2.164444114652763207e-01
5.266430683179777407e+04,2.143805084164835950e-01
5.284192728725095367e+04,2.122952696860803123e-01
5.301954774270414055e+04,2.116919339742302786e-01
5.319716819815733470e+04,2.141952969782625615e-01
5.337478865361051430e+04,2.167126493531125464e-01
5.355240910906370118e+04,2.192420970829966897e-01
5.373002956451688078e+04,2.222601420431466190e-01
5.390765001997006766e+04,2.256946125334224895e-01
5.408527047542324726e+04,2.291412839807122070e-01
5.426289093087644142e+04,2.326045989496582644e-01
5.444051138632962102e+04,2.334059534922385548e-01
5.461813184178280790e+04,2.338049786384131246e-01
5.479575229723598750e+04,2.341995020866950994e-01
5.497337275268917438e+04,2.385607717878114042e-01
5.515099320814236125e+04,2.378122632440522743e-01
5.532861366359554813e+04,2.363707153160449492e-01
5.550623411904872773e+04,2.349105551139127612e-01
5.568385457450191461e+04,2.347713714476849511e-01
5.586147502995510877e+04,2.349342682828227113e-01
5.603909548540828837e+04,2.350909481063053752e-01
5.621671594086147525e+04,2.369071295979083835e-01
5.639433639631465485e+04,2.410750070787727184e-01
5.657195685176784173e+04,2.452739148083812049e-01
5.674957730722102133e+04,2.489381432022106655e-01
5.692719776267421548e+04,2.473393658657159211e-01
5.710481821812739508e+04,2.457238654338687045e-01
5.728243867358058196e+04,2.440901466121151164e-01
5.746005912903376156e+04,2.438709545389704525e-01
5.763767958448694844e+04,2.438694988657531260e-01
5.781530003994013532e+04,2.438610975943581172e-01
5.799292049539332220e+04,2.481711230396051182e-01
5.817054095084650180e+04,2.544081814348735371e-01
5.834816140629968868e+04,2.606902974390844507e-01
5.852578186175287556e+04,2.669981885453928117e-01
5.870340231720606243e+04,2.733433743928864734e-01
5.888102277265924204e+04,2.797332474083816800e-01
