# wave, tp
2.400000000000000000e+04,1.022636433653561702e-02
2.403647094188376650e+04,1.400345664018538827e-02
2.407294188376753664e+04,1.877190788600769170e-02
2.410941282565130314e+04,2.479123080886783820e-02
2.414588376753506964e+04,3.208763098241657064e-02
2.418235470941883978e+04,4.060523056345491377e-02
2.421882565130260627e+04,4.974229947741343888e-02
2.425529659318636914e+04,5.907439682001483505e-02
2.429176753507014291e+04,6.831973245166900188e-02
2.432823847695390577e+04,7.752482934853734131e-02
2.436470941883767227e+04,8.668386880761395907e-02
2.440118036072144241e+04,9.489990614962535986e-02
2.443765130260520891e+04,1.019590783938166406e-01
2.447412224448897541e+04,1.075362211098344484e-01
2.451059318637274555e+04,1.114404806840873924e-01
2.454706412825651205e+04,1.136964447924725258e-01
2.458353507014027855e+04,1.152785936832872032e-01
2.462000601202404869e+04,1.165632905262495717e-01
2.465647695390781519e+04,1.176512279419773682e-01
2.469294789579158169e+04,1.187639195094679911e-01
2.472941883767535182e+04,1.200233821327641448e-01
2.476588977955911832e+04,1.212049143878766028e-01
2.480236072144288482e+04,1.224329977454587520e-01
2.483883166332665132e+04,1.236729692817051945e-01
2.487530260521042146e+04,1.248808978776815709e-01
2.491177354709418796e+04,1.260580237530843639e-01
2.494824448897795446e+04,1.272478170182153867e-01
2.498471543086172460e+04,1.284023066315725936e-01
2.502118637274549110e+04,1.269830582085463844e-01
2.505765731462925760e+04,1.279912071463478185e-01
2.509412825651302774e+04,1.289303121956512088e-01
2.513059919839679424e+04,1.298537707294943611e-01
2.516707014028055710e+04,1.307922653878020036e-01
2.520354108216433087e+04,1.317973598304992833e-01
2.524001202404809374e+04,1.328752558065460776e-01
2.527648296593186024e+04,1.340733917422088084e-01
2.531295390781563037e+04,1.353484294827229095e-01
2.534942484969939687e+04,1.367295241826144980e-01
2.538589579158316337e+04,1.380906772552240591e-01
2.542236673346693351e+04,1.392877829420517410e-01
2.545883767535070001e+04,1.404235329970442148e-01
2.549530861723446651e+04,1.413170356596937516e-01
2.553177955911823665e+04,1.420166778780581063e-01
2.556825050100200315e+04,1.426873674112240364e-01
2.560472144288576965e+04,1.429885465488663354e-01
2.564119238476953979e+04,1.434434864125039288e-01
2.567766332665330629e+04,1.441791313796371710e-01
2.571413426853707278e+04,1.449517467292816553e-01
2.575060521042084292e+04,1.458998865839143400e-01
2.578707615230460942e+04,1.473213904155622200e-01
2.582354709418837592e+04,1.488956962390362848e-01
2.586001803607214606e+04,1.509412612905516871e-01
2.589648897795591256e+04,1.532688830235015565e-01
2.593295991983967906e+04,1.554463549214505080e-01
2.596943086172344192e+04,1.581440743636500501e-01
2.600590180360721570e+04,1.603744266706945976e-01
2.604237274549097856e+04,1.615940619432132686e-01
2.607884368737474506e+04,1.628419204791249075e-01
2.611531462925851520e+04,1.636896986908359941e-01
2.615178557114228170e+04,1.637992591489423055e-01
2.618825651302604820e+04,1.646410797819780059e-01
2.622472745490981833e+04,1.654000337423557621e-01
2.626119839679358483e+04,1.657230116648392149e-01
2.629766933867735133e+04,1.661529177360606124e-01
2.633414028056112147e+04,1.669567459155157085e-01
2.637061122244488797e+04,1.678694998941382133e-01
2.640708216432865447e+04,1.687802734326179221e-01
2.644355310621242461e+04,1.698689293137018164e-01
2.648002404809619111e+04,1.712013241523577256e-01
2.651649498997995761e+04,1.720685530825443732e-01
2.655296593186372775e+04,1.733440388638164131e-01
2.658943687374749425e+04,1.745952626523494533e-01
2.662590781563126075e+04,1.758102624952556647e-01
2.666237875751503088e+04,1.763683914981852840e-01
2.669884969939879738e+04,1.770062612921037282e-01
2.673532064128256388e+04,1.786282702550636703e-01
2.677179158316633402e+04,1.790868860849121058e-01
2.680826252505010052e+04,1.803076086156855384e-01
2.684473346693386702e+04,1.809353371234397323e-01
2.688120440881763716e+04,1.817304203102884652e-01
2.691767535070140366e+04,1.824991024647866777e-01
2.695414629258516652e+04,1.831791289086091568e-01
2.699061723446894030e+04,1.844224051858515401e-01
2.702708817635270316e+04,1.859104543643256557e-01
2.706355911823646966e+04,1.871884551468117608e-01
2.710003006012023980e+04,1.880257340569152780e-01
2.713650100200400630e+04,1.897301397165170600e-01
2.717297194388777280e+04,1.907869677351891891e-01
2.720944288577154293e+04,1.914802052509049501e-01
2.724591382765530943e+04,1.926546015700202341e-01
2.728238476953907593e+04,1.941368828268670021e-01
2.731885571142284607e+04,1.950008912133056882e-01
2.735532665330661257e+04,1.955849124352907198e-01
2.739179759519037907e+04,1.959328985820241731e-01
2.742826853707414921e+04,1.970627437079387756e-01
2.746473947895791571e+04,1.978725403109124203e-01
2.750121042084168221e+04,1.984990518021670647e-01
2.753768136272545235e+04,1.982672837768127416e-01
2.757415230460921885e+04,1.980810996726769802e-01
2.761062324649298534e+04,1.979987751993058376e-01
2.764709418837675184e+04,1.985333411007587645e-01
2.768356513026052198e+04,1.995119379342012722e-01
2.772003607214428848e+04,2.007589030492341609e-01
2.775650701402805498e+04,2.022614579217615338e-01
2.779297795591182512e+04,2.037084389782593818e-01
2.782944889779559162e+04,2.053426490708830654e-01
2.786591983967935448e+04,2.068559602996326019e-01
2.790239078156312826e+04,2.088268439652870567e-01
2.793886172344689112e+04,2.104474401233126513e-01
2.797533266533065762e+04,2.120499029068957375e-01
2.801180360721442776e+04,2.133744237117619624e-01
2.804827454909819426e+04,2.145186886883185817e-01
2.808474549098196076e+04,2.156882947499206282e-01
2.812121643286573089e+04,2.166514261954033127e-01
2.815768737474949739e+04,2.174671689646321682e-01
2.819415831663326389e+04,2.181427844852934228e-01
2.823062925851703403e+04,2.189954086048725990e-01
2.826710020040080053e+04,2.197819236144063493e-01
2.830357114228456703e+04,2.206056956213386655e-01
2.834004208416833717e+04,2.213531810635328279e-01
2.837651302605210367e+04,2.222072113757643241e-01
2.841298396793587017e+04,2.231433869356737876e-01
2.844945490981963667e+04,2.240968202279613186e-01
2.848592585170340681e+04,2.250338644157008350e-01
2.852239679358717331e+04,2.260665847688025087e-01
2.855886773547093981e+04,2.270761760426702469e-01
2.859533867735470994e+04,2.281186318984510242e-01
2.863180961923847644e+04,2.291736950311862031e-01
2.866828056112224294e+04,2.301755488054212373e-01
2.870475150300601308e+04,2.311803239812115496e-01
2.874122244488977958e+04,2.321673252476011418e-01
2.877769338677354244e+04,2.330793794500738425e-01
2.881416432865731622e+04,2.339736736264910744e-01
2.885063527054107908e+04,2.348042610805300690e-01
2.888710621242484558e+04,2.356359986293234121e-01
2.892357715430861572e+04,2.364686469983242334e-01
2.896004809619238222e+04,2.373059904589704117e-01
2.899651903807614872e+04,2.381131288761598463e-01
2.903298997995991886e+04,2.388770837704927430e-01
2.906946092184368536e+04,2.396263059110635418e-01
2.910593186372745186e+04,2.403746797228990817e-01
2.914240280561122199e+04,2.411050570872347865e-01
2.917887374749498849e+04,2.418331301268180633e-01
2.921534468937875499e+04,2.425379154668614035e-01
2.925181563126252513e+04,2.432333488257793774e-01
2.928828657314629163e+04,2.438943342705804374e-01
2.932475751503005813e+04,2.445168359785906687e-01
2.936122845691382827e+04,2.450877076994366632e-01
2.939769939879759477e+04,2.456839346856249939e-01
2.943417034068136127e+04,2.462634113660754354e-01
2.947064128256513141e+04,2.467874065784664839e-01
2.950711222444889790e+04,2.473981539822742159e-01
2.954358316633266440e+04,2.479886645646084964e-01
2.958005410821643454e+04,2.486325852789715851e-01
2.961652505010020104e+04,2.492826877796227303e-01
2.965299599198396754e+04,2.500136689580202964e-01
2.968946693386773768e+04,2.508534404859283917e-01
2.972593787575150418e+04,2.517048652456586044e-01
2.976240881763526704e+04,2.527086076011809679e-01
2.979887975951904082e+04,2.537957646695224168e-01
2.983535070140280368e+04,2.550628567300209926e-01
2.987182164328657018e+04,2.564037263844336501e-01
2.990829258517034032e+04,2.578503345844395112e-01
2.994476352705410682e+04,2.593751576000953851e-01
2.998123446893787332e+04,2.609046978078979895e-01
3.001770541082164345e+04,2.624410239523570221e-01
3.005417635270540995e+04,2.638993152171786871e-01
3.009064729458917645e+04,2.652782527675243696e-01
3.012711823647294659e+04,2.665915283815744052e-01
3.016358917835671309e+04,2.677948006395891034e-01
3.020006012024047959e+04,2.689794892999950449e-01
3.023653106212424973e+04,2.699556593800042092e-01
3.027300200400801623e+04,2.707956226979054692e-01
3.030947294589178273e+04,2.715318481357929525e-01
3.034594388777555287e+04,2.721787581931161548e-01
3.038241482965931937e+04,2.727026305106922122e-01
3.041888577154308587e+04,2.731645829883153076e-01
3.045535671342685600e+04,2.735763481644528650e-01
3.049182765531062250e+04,2.739653060860351985e-01
3.052829859719438900e+04,2.743316991133791238e-01
3.056476953907815550e+04,2.747209420509193478e-01
3.060124048096192564e+04,2.751566368949808772e-01
3.063771142284569214e+04,2.757006992402899481e-01
3.067418236472945500e+04,2.763281107218046317e-01
3.071065330661322878e+04,2.770733676740192442e-01
3.074712424849699164e+04,2.778827743868657052e-01
3.078359519038075814e+04,2.788101489497358809e-01
3.082006613226452828e+04,2.798275491205322596e-01
3.085653707414829478e+04,2.809380302686926845e-01
3.089300801603206128e+04,2.821375679678833071e-01
3.092947895791582778e+04,2.834073362723729117e-01
3.096594989979959792e+04,2.847550085944355325e-01
3.100242084168336442e+04,2.860521477864523821e-01
3.103889178356713091e+04,2.872317792072495712e-01
3.107536272545090105e+04,2.884202256578543011e-01
3.111183366733466755e+04,2.896020639171046906e-01
3.114830460921843405e+04,2.907656185298537754e-01
3.118477555110220419e+04,2.919124040895264560e-01
3.122124649298597069e+04,2.930104385550834079e-01
3.125771743486973719e+04,2.940748249531079384e-01
3.129418837675350733e+04,2.951107063265343000e-01
3.133065931863727383e+04,2.960728694559682794e-01
3.136713026052104033e+04,2.969864173156602782e-01
3.140360120240481046e+04,2.978928539386640484e-01
3.144007214428857696e+04,2.988130820780021679e-01
3.147654308617234346e+04,2.997377040319341157e-01
3.151301402805611360e+04,3.006640858884470635e-01
3.154948496993987646e+04,3.015759495348380725e-01
3.158595591182364296e+04,3.024994539469321175e-01
3.162242685370741310e+04,3.034517190321119884e-01
3.165889779559117960e+04,3.044286478455379696e-01
3.169536873747494610e+04,3.054308235751074241e-01
3.173183967935871624e+04,3.064460077261020876e-01
3.176831062124248274e+04,3.074294840331174283e-01
3.180478156312624924e+04,3.084303927899701425e-01
3.184125250501001938e+04,3.094128092648324446e-01
3.187772344689378588e+04,3.103490916842367442e-01
3.191419438877755238e+04,3.112868295715859879e-01
3.195066533066132251e+04,3.122149203059776945e-01
3.198713627254508901e+04,3.130867335283997188e-01
3.202360721442885551e+04,3.138816182946334021e-01
3.206007815631262565e+04,3.146170853832514491e-01
3.209654909819639215e+04,3.153000720191229123e-01
3.213302004008015865e+04,3.159273856765526522e-01
3.216949098196392879e+04,3.165427219506153356e-01
3.220596192384769529e+04,3.171224044241437445e-01
3.224243286573146179e+04,3.176688905860000078e-01
3.227890380761523193e+04,3.182345998546556864e-01
3.231537474949899843e+04,3.188166291767050020e-01
3.235184569138276493e+04,3.194408919090203081e-01
3.238831663326653506e+04,3.200610678453200131e-01
3.242478757515030156e+04,3.207268075180714773e-01
3.246125851703406443e+04,3.213742186376491450e-01
3.249772945891783820e+04,3.220881908504144020e-01
3.253420040080160106e+04,3.228276186044712892e-01
3.257067134268536756e+04,3.235875478176052922e-01
3.260714228456913770e+04,3.243867276085682927e-01
3.264361322645290420e+04,3.252128265606273883e-01
3.268008416833667070e+04,3.260544768796865833e-01
3.271655511022044084e+04,3.269277422824273249e-01
3.275302605210420734e+04,3.278532941504036513e-01
3.278949699398797384e+04,3.287626059027455860e-01
3.282596793587174761e+04,3.296930656505633883e-01
3.286243887775551411e+04,3.306661549946567358e-01
3.289890981963928061e+04,3.315936120934411813e-01
3.293538076152304711e+04,3.325140665367654624e-01
3.297185170340681361e+04,3.334758452157703390e-01
3.300832264529058011e+04,3.343704809413197143e-01
3.304479358717435389e+04,3.351689793083641455e-01
3.308126452905811311e+04,3.359900638930265471e-01
3.311773547094187961e+04,3.368088934745584462e-01
3.315420641282565339e+04,3.376423517499921867e-01
3.319067735470941989e+04,3.385311887267405395e-01
3.322714829659318639e+04,3.394443902253847511e-01
3.326361923847695289e+04,3.403982330897877273e-01
3.330009018036071939e+04,3.414255474924547396e-01
3.333656112224448589e+04,3.424378726688768748e-01
3.337303206412825239e+04,3.434555545924902198e-01
3.340950300601202616e+04,3.445568333198473776e-01
3.344597394789579266e+04,3.456777915688837854e-01
3.348244488977955916e+04,3.468299335769914338e-01
3.351891583166332566e+04,3.480424698336946898e-01
3.355538677354709216e+04,3.492961053641482350e-01
3.359185771543085866e+04,3.505152005705703955e-01
3.362832865731462516e+04,3.517119361252904475e-01
3.366479959919839894e+04,3.529212155082041558e-01
3.370127054108216544e+04,3.541093047602120736e-01
3.373774148296593194e+04,3.553715434719978417e-01
3.377421242484969844e+04,3.565291457769940164e-01
3.381068336673346494e+04,3.576659716776947606e-01
3.384715430861723144e+04,3.587494071332041345e-01
3.388362525050100521e+04,3.598109131483007150e-01
3.392009619238476444e+04,3.608068779276059623e-01
3.395656713426853094e+04,3.617028315720282605e-01
3.399303807615230471e+04,3.625057305549539421e-01
3.402950901803607121e+04,3.631733563698777423e-01
3.406597995991983771e+04,3.637454081685012053e-01
3.410245090180360421e+04,3.642679024948342614e-01
3.413892184368737071e+04,3.647724713400849472e-01
3.417539278557113721e+04,3.652242094695988261e-01
3.421186372745491099e+04,3.656542651368772101e-01
3.424833466933867749e+04,3.660900436608489072e-01
3.428480561122244399e+04,3.665425739121727644e-01
3.432127655310621049e+04,3.670909426082335503e-01
3.435774749498997699e+04,3.676894089014480782e-01
3.439421843687374349e+04,3.682394233902686609e-01
3.443068937875751726e+04,3.688115791440190194e-01
3.446716032064128376e+04,3.694730378584268338e-01
3.450363126252505026e+04,3.702342363076673304e-01
3.454010220440881676e+04,3.709970446802746125e-01
3.457657314629258326e+04,3.718079586074989340e-01
3.461304408817634976e+04,3.727143587036963468e-01
3.464951503006012354e+04,3.736331934907811125e-01
3.468598597194389004e+04,3.745648592461437998e-01
3.472245691382764926e+04,3.755371305411253080e-01
3.475892785571142304e+04,3.765661868279998048e-01
3.479539879759518954e+04,3.776102558582446478e-01
3.483186973947895603e+04,3.786274954279583160e-01
3.486834068136272253e+04,3.796416438461559517e-01
3.490481162324648903e+04,3.806490345442531398e-01
3.494128256513025553e+04,3.816199980385152624e-01
3.497775350701402931e+04,3.825385123873227267e-01
3.501422444889779581e+04,3.834236576603684554e-01
3.505069539078156231e+04,3.841859011043741723e-01
3.508716633266532881e+04,3.848858808521148922e-01
3.512363727454909531e+04,3.855117291674957092e-01
3.516010821643286181e+04,3.862102685759825071e-01
3.519657915831663558e+04,3.867615908682816017e-01
3.523305010020040208e+04,3.872733813085070254e-01
3.526952104208416858e+04,3.876967299854103266e-01
3.530599198396793508e+04,3.880914484425652122e-01
3.534246292585170158e+04,3.885201224549000298e-01
3.537893386773546808e+04,3.889134285536893776e-01
3.541540480961924186e+04,3.892750116645656289e-01
3.545187575150300836e+04,3.896254473949359864e-01
3.548834669338677486e+04,3.899659808910490577e-01
3.552481763527054136e+04,3.903252827861747321e-01
3.556128857715430786e+04,3.907094740590404403e-01
3.559775951903807436e+04,3.911306350307714452e-01
3.563423046092184813e+04,3.915693323669314219e-01
3.567070140280561463e+04,3.920307886580238210e-01
3.570717234468937386e+04,3.925044670222725407e-01
3.574364328657314763e+04,3.930442036647790460e-01
3.578011422845690686e+04,3.935843174567901781e-01
3.581658517034068063e+04,3.941392573951302269e-01
3.585305611222444713e+04,3.947430437815871995e-01
3.588952705410821363e+04,3.953879627072874325e-01
3.592599799599198013e+04,3.960285208163247250e-01
3.596246893787575391e+04,3.966784774503291922e-01
3.599893987975951313e+04,3.973669138141145418e-01
3.603541082164328691e+04,3.979698039279804256e-01
3.607188176352705341e+04,3.984965877415128088e-01
3.610835270541081991e+04,3.990438872568207729e-01
3.614482364729458641e+04,3.996298753654233815e-01
3.618129458917836018e+04,4.001926702335750763e-01
3.621776553106211941e+04,4.007081895021372686e-01
3.625423647294589318e+04,4.012261142279362480e-01
3.629070741482965968e+04,4.017385533317332502e-01
3.632717835671342618e+04,4.022103980233912024e-01
3.636364929859719268e+04,4.026685443973676559e-01
3.640012024048095918e+04,4.031464569086121719e-01
3.643659118236472568e+04,4.035866737969385776e-01
3.647306212424849946e+04,4.039877856256547384e-01
3.650953306613226596e+04,4.044158664335446018e-01
3.654600400801602518e+04,4.048253970948587632e-01
3.658247494989979896e+04,4.052160673173714200e-01
3.661894589178356546e+04,4.055579386083476012e-01
3.665541683366733196e+04,4.059075665931740073e-01
3.669188777555109846e+04,4.062841374879307965e-01
3.672835871743486496e+04,4.066246333781066147e-01
3.676482965931863146e+04,4.069229483767505262e-01
3.680130060120240523e+04,4.072487919129438860e-01
3.683777154308617173e+04,4.075636991225405348e-01
3.687424248496993823e+04,4.078544082953866612e-01
3.691071342685370473e+04,4.081100541853700525e-01
3.694718436873747123e+04,4.084016951381052030e-01
3.698365531062123773e+04,4.086944553135731240e-01
3.702012625250501151e+04,4.089034144717193509e-01
3.705659719438877801e+04,4.090436480389635920e-01
3.709306813627254451e+04,4.092040129749945354e-01
3.712953907815631101e+04,4.093610784534217339e-01
3.716601002004007751e+04,4.094953600889165712e-01
3.720248096192384401e+04,4.096089759239990857e-01
3.723895190380761778e+04,4.097601466192152264e-01
3.727542284569138428e+04,4.099496486676252882e-01
3.731189378757515078e+04,4.100943876039686575e-01
3.734836472945891728e+04,4.102525099447224544e-01
3.738483567134268378e+04,4.104543949206595488e-01
3.742130661322645028e+04,4.106748634594883929e-01
3.745777755511022406e+04,4.108775461735914569e-01
3.749424849699399056e+04,4.110945959874937605e-01
3.753071943887774978e+04,4.113359898277350601e-01
3.756719038076152356e+04,4.116056256160750548e-01
3.760366132264529006e+04,4.118740512965445300e-01
3.764013226452905656e+04,4.121296775431046999e-01
3.767660320641282306e+04,4.124301439408364356e-01
3.771307414829658956e+04,4.127454909723922705e-01
3.774954509018035606e+04,4.130334505770407727e-01
3.778601603206412983e+04,4.133251018688751111e-01
3.782248697394789633e+04,4.136254611324902686e-01
3.785895791583166283e+04,4.139449064948835799e-01
3.789542885771542933e+04,4.142442914890864802e-01
3.793189979959919583e+04,4.145071043775546693e-01
3.796837074148296233e+04,4.147773715777051673e-01
3.800484168336673611e+04,4.150433460866443380e-01
3.804131262525050261e+04,4.152871280470508686e-01
3.807778356713426911e+04,4.155078430619179031e-01
3.811425450901803561e+04,4.156913601478486320e-01
3.815072545090180211e+04,4.158539323299201285e-01
3.818719639278556861e+04,4.159783373530264727e-01
3.822366733466934238e+04,4.160625671210138043e-01
3.826013827655310888e+04,4.161218237286040678e-01
3.829660921843687538e+04,4.161536841924017294e-01
3.833308016032064188e+04,4.161473238627407256e-01
3.836955110220440110e+04,4.160855594526619572e-01
3.840602204408817488e+04,4.159981942115654197e-01
3.844249298597194866e+04,4.158940672359387469e-01
3.847896392785570788e+04,4.157636201183103619e-01
3.851543486973947438e+04,4.155788106360209233e-01
3.855190581162324816e+04,4.153684910317609891e-01
3.858837675350700738e+04,4.151611636097137792e-01
3.862484769539078115e+04,4.149539838186693252e-01
3.866131863727454765e+04,4.147488875485343951e-01
3.869778957915831415e+04,4.145274092325075821e-01
3.873426052104208065e+04,4.142690956934984570e-01
3.877073146292585443e+04,4.140170657611886296e-01
3.880720240480961365e+04,4.138034252224815912e-01
3.884367334669338743e+04,4.136139682523896632e-01
3.888014428857715393e+04,4.134719220525787664e-01
3.891661523046092043e+04,4.133557788738804195e-01
3.895308617234468693e+04,4.132741171311274941e-01
3.898955711422846070e+04,4.132287004276869458e-01
3.902602805611221993e+04,4.131360811811994327e-01
3.906249899799599370e+04,4.130673210404932627e-01
3.909896993987976020e+04,4.130490774505018448e-01
3.913544088176352670e+04,4.131187825253463397e-01
3.917191182364729320e+04,4.132551161927502936e-01
3.920838276553105970e+04,4.133947979855034371e-01
3.924485370741482620e+04,4.135565487449117117e-01
3.928132464929859998e+04,4.137326656614577214e-01
3.931779559118236648e+04,4.138483363783627689e-01
3.935426653306612570e+04,4.138228247543471738e-01
3.939073747494989948e+04,4.135738570096607614e-01
3.942720841683366598e+04,4.130814051116199481e-01
3.946367935871743248e+04,4.122231412777930815e-01
3.950015030060119898e+04,4.108464740435773255e-01
3.953662124248496548e+04,4.087879159231956328e-01
3.957309218436873198e+04,4.059326070235761974e-01
3.960956312625250575e+04,4.021031626757096689e-01
3.964603406813627225e+04,3.971631990906857590e-01
3.968250501002003875e+04,3.909374574020131887e-01
3.971897595190380525e+04,3.833152472328945071e-01
3.975544689378757175e+04,3.741512741960825172e-01
3.979191783567133825e+04,3.634211586325649113e-01
3.982838877755511203e+04,3.510944558753579803e-01
3.986485971943887853e+04,3.371628530995791628e-01
3.990133066132264503e+04,3.218043390568517403e-01
3.993780160320641153e+04,3.051959158002536809e-01
3.997427254509017803e+04,2.875283693377659877e-01
4.001074348697394453e+04,2.691343027843043911e-01
4.004721442885771830e+04,2.502731335913804256e-01
4.008368537074147753e+04,2.312033441946843293e-01
4.012015631262525130e+04,2.123223947795606081e-01
4.015662725450901780e+04,1.939078611144198216e-01
4.019309819639279158e+04,1.761392465153570619e-01
4.022956913827655080e+04,1.592224041661694234e-01
4.026604008016032458e+04,1.432845970404501845e-01
4.030251102204408380e+04,1.284359034599098781e-01
4.033898196392785030e+04,1.147177365692013118e-01
4.037545290581162408e+04,1.021091206477211383e-01
4.041192384769539785e+04,9.063443103634384601e-02
4.044839478957915708e+04,8.023327698666621322e-02
4.048486573146292358e+04,7.083871766673181802e-02
4.052133667334669008e+04,6.240487187196724211e-02
4.055780761523045658e+04,5.487838323130564411e-02
4.059427855711423035e+04,4.814861663850517753e-02
4.063074949899799685e+04,4.216598727556784831e-02
4.066722044088176335e+04,3.686484383533791820e-02
4.070369138276552985e+04,3.217576605524231220e-02
4.074016232464929635e+04,2.803915788179780350e-02
4.077663326653306285e+04,2.441481303893469623e-02
4.081310420841683663e+04,2.122285011941150643e-02
4.084957515030060313e+04,1.841638807863337640e-02
4.088604609218436963e+04,1.596684051142737218e-02
4.092251703406813613e+04,1.384256365426875766e-02
4.095898797595190263e+04,1.198326262987151059e-02
4.099545891783566913e+04,1.037071489011727639e-02
4.103192985971944290e+04,8.961919210086105245e-03
4.106840080160320213e+04,7.743863205535133319e-03
4.110487174348697590e+04,6.693370295973739142e-03
4.114134268537074240e+04,5.784458636579619013e-03
4.117781362725450163e+04,4.985335199086156008e-03
4.121428456913827540e+04,4.293927540719091364e-03
4.125075551102204918e+04,3.716391784670394077e-03
4.128722645290580840e+04,3.217943907695718954e-03
4.132369739478957490e+04,2.776805781600937863e-03
4.136016833667334868e+04,2.387895002821828396e-03
4.139663927855710790e+04,2.072305780620940698e-03
4.143311022044088168e+04,1.798478663626468070e-03
4.146958116232464818e+04,1.549798421282727254e-03
4.150605210420841468e+04,1.334941932868053934e-03
4.154252304609218118e+04,1.157985717675299444e-03
4.157899398797595495e+04,1.015891676776994358e-03
4.161546492985971418e+04,8.783722739940071555e-04
4.165193587174348795e+04,7.510615665941454324e-04
4.168840681362725445e+04,6.480556405173726765e-04
4.172487775551102095e+04,5.730170049122116889e-04
4.176134869739478745e+04,4.926715270990528542e-04
4.179781963927855395e+04,4.159787379900580688e-04
4.183429058116232045e+04,3.605965563996019847e-04
4.187076152304609423e+04,3.220809162678558383e-04
4.190723246492986073e+04,2.748214064004077554e-04
4.194370340681362723e+04,2.272035477484607511e-04
