# wave, tp
3.725350000000000000e+04,1.454022010565348257e-04
3.727901252505010052e+04,1.635643262619938972e-04
3.730452505010020104e+04,1.843175450939352439e-04
3.733003757515030156e+04,2.088796181365395706e-04
3.735555010020040208e+04,2.361788860473382299e-04
3.738106262525050261e+04,2.673681770852616348e-04
3.740657515030060313e+04,3.023724265766468606e-04
3.743208767535070365e+04,3.403941115291475648e-04
3.745760020040080417e+04,3.826391830572725672e-04
3.748311272545090469e+04,4.299482871726654598e-04
3.750862525050100521e+04,4.834028430051652580e-04
3.753413777555109846e+04,5.436151080570570142e-04
3.755965030060120625e+04,6.102516415450441080e-04
3.758516282565130678e+04,6.843613834551786094e-04
3.761067535070140002e+04,7.663541691048039598e-04
3.763618787575150782e+04,8.567859379561804881e-04
3.766170040080160106e+04,9.566540374611882643e-04
3.768721292585170886e+04,1.066802087673190914e-03
3.771272545090180211e+04,1.188340363312855898e-03
3.773823797595190263e+04,1.321725366672032087e-03
3.776375050100201042e+04,1.468354736007661991e-03
3.778926302605210367e+04,1.629830905483693748e-03
3.781477555110220419e+04,1.807656696377364343e-03
3.784028807615230471e+04,2.004063461539945523e-03
3.786580060120240523e+04,2.221294513984424859e-03
3.789131312625250575e+04,2.462236774109078947e-03
3.791682565130260627e+04,2.729971166347082683e-03
3.794233817635270680e+04,3.028684498903603129e-03
3.796785070140280732e+04,3.364001125611330075e-03
3.799336322645290784e+04,3.740936480678020652e-03
3.801887575150300836e+04,4.165086220238478631e-03
3.804438827655310888e+04,4.644509113931679853e-03
3.806990080160320940e+04,5.188655013463609050e-03
3.809541332665330992e+04,5.807222561078226319e-03
3.812092585170341044e+04,6.513200806648432317e-03
3.814643837675350369e+04,7.320661173239588482e-03
3.817195090180361149e+04,8.248444805654779610e-03
3.819746342685371201e+04,9.322226526819491974e-03
3.822297595190380525e+04,1.056312264641785965e-02
3.824848847695391305e+04,1.200221904090028810e-02
3.827400100200400630e+04,1.367211013629365465e-02
3.829951352705410682e+04,1.561265397085755471e-02
3.832502605210420734e+04,1.787074721513818784e-02
3.835053857715430786e+04,2.050306390176268381e-02
