# wave, tp
6.300000000000000000e+03,9.446703857853670783e-02
6.312625250501001574e+03,9.717320023819370212e-02
6.325250501002004057e+03,9.990964417444586632e-02
6.337875751503005631e+03,1.026575163057606987e-01
6.350501002004007205e+03,1.054015728740005098e-01
6.363126252505010598e+03,1.081534083287296333e-01
6.375751503006012172e+03,1.109202851696944742e-01
6.388376753507014655e+03,1.136958920051934357e-01
6.401002004008016229e+03,1.164854218994269969e-01
6.413627254509017803e+03,1.193007158354498776e-01
6.426252505010020286e+03,1.221175737076996282e-01
6.438877755511021860e+03,1.249493760649181551e-01
6.451503006012023434e+03,1.278012885889870665e-01
6.464128256513026827e+03,1.306675303606554817e-01
6.476753507014028401e+03,1.335536925234860339e-01
6.489378757515029974e+03,1.364674307717104740e-01
6.502004008016032458e+03,1.394159842998336785e-01
6.514629258517034032e+03,1.423709730864900769e-01
6.527254509018035606e+03,1.453493144180347252e-01
6.539879759519038089e+03,1.483443396178715512e-01
6.552505010020039663e+03,1.513518570773886018e-01
6.565130260521043056e+03,1.543774514573641454e-01
6.577755511022044629e+03,1.574243625252074730e-01
6.590380761523046203e+03,1.604652329065100191e-01
6.603006012024048687e+03,1.635081649295668238e-01
6.615631262525050261e+03,1.665412511157213227e-01
6.628256513026051834e+03,1.695710228050317514e-01
6.640881763527054318e+03,1.725913074145153936e-01
6.653507014028055892e+03,1.756029690331363802e-01
6.666132264529057466e+03,1.786075605431079460e-01
6.678757515030060858e+03,1.815698080367132150e-01
6.691382765531062432e+03,1.845147424456930474e-01
6.704008016032064006e+03,1.874296706399210255e-01
6.716633266533066490e+03,1.903049670213003697e-01
6.729258517034068063e+03,1.931463193979214843e-01
6.741883767535070547e+03,1.959567835588418294e-01
6.754509018036072121e+03,1.986853482395866954e-01
6.767134268537073694e+03,2.013590758543479242e-01
6.779759519038076178e+03,2.039770027938846708e-01
6.792384769539078661e+03,2.065036175043779287e-01
6.805010020040080235e+03,2.089615706138083506e-01
6.817635270541082718e+03,2.113347411215980021e-01
6.830260521042084292e+03,2.136390406235652573e-01
6.842885771543085866e+03,2.158102339075823883e-01
6.855511022044088350e+03,2.178826247026378615e-01
6.868136272545089923e+03,2.198515854644801371e-01
6.880761523046092407e+03,2.217120967807116039e-01
6.893386773547093981e+03,2.234732727029086208e-01
6.906012024048095554e+03,2.251263742006075208e-01
6.918637274549098947e+03,2.266767372075427500e-01
6.931262525050100521e+03,2.281104617972269377e-01
6.943887775551102095e+03,2.294604520909750145e-01
6.956513026052104578e+03,2.307223634899455977e-01
6.969138276553106152e+03,2.318995742518673298e-01
6.981763527054107726e+03,2.329846594853940966e-01
6.994388777555110210e+03,2.339787702407500058e-01
7.007014028056111783e+03,2.349047011911255534e-01
7.019639278557115176e+03,2.357428114292025034e-01
7.032264529058116750e+03,2.365113475274502886e-01
7.044889779559118324e+03,2.372030648678547793e-01
7.057515030060119898e+03,2.378292060902292837e-01
7.070140280561122381e+03,2.384014730173378005e-01
7.082765531062123955e+03,2.388889073816229114e-01
7.095390781563126438e+03,2.393238118680220405e-01
7.108016032064128012e+03,2.396886263178086285e-01
7.120641282565129586e+03,2.400105798564403092e-01
7.133266533066132979e+03,2.402571557925282097e-01
7.145891783567134553e+03,2.404605913197946088e-01
7.158517034068137036e+03,2.406097741710268856e-01
7.171142284569138610e+03,2.407009450948727203e-01
7.183767535070140184e+03,2.407420195894412751e-01
7.196392785571141758e+03,2.407372693124900931e-01
7.209018036072144241e+03,2.406899772323084219e-01
7.221643286573145815e+03,2.405973282735245633e-01
7.234268537074149208e+03,2.404575518019027580e-01
7.246893787575150782e+03,2.402757515960275980e-01
7.259519038076152356e+03,2.400482691270971469e-01
7.272144288577154839e+03,2.397646664152143225e-01
7.284769539078156413e+03,2.394216849014164927e-01
7.297394789579157987e+03,2.390402919427781769e-01
7.310020040080160470e+03,2.386042678844663423e-01
7.322645290581162044e+03,2.380907780581826561e-01
7.335270541082163618e+03,2.375400386287617460e-01
7.347895791583167011e+03,2.369193965187740281e-01
7.360521042084168585e+03,2.362469819121135739e-01
7.373146292585171068e+03,2.354961110606814123e-01
7.385771543086172642e+03,2.346845081928573828e-01
7.398396793587174216e+03,2.338129714710977802e-01
7.411022044088176699e+03,2.328688099799310351e-01
7.423647294589178273e+03,2.318651793326838295e-01
7.436272545090179847e+03,2.307847435777211909e-01
7.448897795591183240e+03,2.296559293304492599e-01
7.461523046092184813e+03,2.284457675044777869e-01
7.474148296593186387e+03,2.271689380586041918e-01
7.486773547094188871e+03,2.258336881177980260e-01
7.499398797595190445e+03,2.244320437527097534e-01
7.512024048096192928e+03,2.229619079236960510e-01
7.524649298597194502e+03,2.214282493841834287e-01
7.537274549098196076e+03,2.198337304162552019e-01
7.549899799599198559e+03,2.181929631994207752e-01
7.562525050100201042e+03,2.164523456077086239e-01
7.575150300601202616e+03,2.146701215372869009e-01
7.587775551102205100e+03,2.128282495106635364e-01
7.600400801603206673e+03,2.109558501475765901e-01
7.613026052104208247e+03,2.090543496891137387e-01
7.625651302605210731e+03,2.071350894382394114e-01
7.638276553106212305e+03,2.051933379845106709e-01
7.650901803607214788e+03,2.032634515785498031e-01
7.663527054108216362e+03,2.013383112110460338e-01
7.676152304609217936e+03,1.994482571339478982e-01
7.688777555110220419e+03,1.975776461960217778e-01
7.701402805611222902e+03,1.957631803127032333e-01
7.714028056112224476e+03,1.939956628452143561e-01
7.726653306613226960e+03,1.922855570254416169e-01
7.739278557114228533e+03,1.906637956299896408e-01
7.751903807615230107e+03,1.891100367749360966e-01
7.764529058116232591e+03,1.876277022950151030e-01
7.777154308617234165e+03,1.861948219848998387e-01
7.789779559118237557e+03,1.847961633080447696e-01
7.802404809619239131e+03,1.834196163351923259e-01
7.815030060120240705e+03,1.820717381343248675e-01
7.827655310621242279e+03,1.807309556487041446e-01
7.840280561122244762e+03,1.793763864050108847e-01
7.852905811623246336e+03,1.779966336087421830e-01
7.865531062124248820e+03,1.765921784197213296e-01
7.878156312625250393e+03,1.751331408930063283e-01
7.890781563126251967e+03,1.736194099791331380e-01
7.903406813627255360e+03,1.720327820619162451e-01
7.916032064128256934e+03,1.703760721555568625e-01
7.928657314629258508e+03,1.686407423181301157e-01
7.941282565130260991e+03,1.668293770088378758e-01
7.953907815631262565e+03,1.649569074337716434e-01
7.966533066132264139e+03,1.630340970391010169e-01
7.979158316633266622e+03,1.610866063435821560e-01
7.991783567134268196e+03,1.591215492919091645e-01
8.004408817635271589e+03,1.571485168263361820e-01
8.017034068136273163e+03,1.551801449847835523e-01
8.029659318637274737e+03,1.532270354755638497e-01
8.042284569138276311e+03,1.512913522613729411e-01
8.054909819639278794e+03,1.493989688598857390e-01
8.067535070140280368e+03,1.475707887652806805e-01
8.080160320641282851e+03,1.458049444898589508e-01
8.092785571142284425e+03,1.441150972638693961e-01
8.105410821643285999e+03,1.425083626311028084e-01
8.118036072144289392e+03,1.409680625010323596e-01
8.130661322645290966e+03,1.394678649566590822e-01
8.143286573146293449e+03,1.380445604813335392e-01
8.155911823647295023e+03,1.366617273014553435e-01
8.168537074148296597e+03,1.353219182293262657e-01
8.181162324649298171e+03,1.340041956258649913e-01
8.193787575150301564e+03,1.327158613631447825e-01
8.206412825651303137e+03,1.314323541381081373e-01
8.219038076152304711e+03,1.301556659096412272e-01
8.231663326653306285e+03,1.288873597593569176e-01
8.244288577154307859e+03,1.276044032118300586e-01
8.256913827655311252e+03,1.263065652448438769e-01
8.269539078156312826e+03,1.249815930248883572e-01
8.282164328657316219e+03,1.236384702532436208e-01
8.294789579158317792e+03,1.222622190659283931e-01
8.307414829659319366e+03,1.208858594386155311e-01
8.320040080160320940e+03,1.194962044155965381e-01
8.332665330661322514e+03,1.180968467919291248e-01
8.345290581162324088e+03,1.167010389029252831e-01
8.357915831663327481e+03,1.153072379477147469e-01
8.370541082164329055e+03,1.139133386798040770e-01
8.383166332665330629e+03,1.125237813997994746e-01
8.395791583166334021e+03,1.111588629903224323e-01
8.408416833667335595e+03,1.098188774752147240e-01
8.421042084168337169e+03,1.084976286495671488e-01
8.433667334669338743e+03,1.072046211933905258e-01
8.446292585170340317e+03,1.059372072020021566e-01
8.458917835671341891e+03,1.046938269245821090e-01
8.471543086172345284e+03,1.034817225107363681e-01
8.484168336673346857e+03,1.022905344228910857e-01
8.496793587174350250e+03,1.011140851801458768e-01
8.509418837675351824e+03,9.994196985223763319e-02
8.522044088176353398e+03,9.878402513588779854e-02
8.534669338677354972e+03,9.762452849514929865e-02
8.547294589178356546e+03,9.646308739383535613e-02
8.559919839679358120e+03,9.530175870995870324e-02
8.572545090180361512e+03,9.412769172721573152e-02
8.585170340681363086e+03,9.293631635876482833e-02
8.597795591182364660e+03,9.173199185459593452e-02
8.610420841683368053e+03,9.050498818190789996e-02
8.623046092184369627e+03,8.923577822113580582e-02
8.635671342685371201e+03,8.796508250579139487e-02
8.648296593186372775e+03,8.667690343676408282e-02
8.660921843687374349e+03,8.538701103461886210e-02
8.673547094188375922e+03,8.409707056270840364e-02
8.686172344689379315e+03,8.281261242260937183e-02
8.698797595190380889e+03,8.153118093222075369e-02
8.711422845691382463e+03,8.028362309002225194e-02
8.724048096192385856e+03,7.906280241193819336e-02
8.736673346693387430e+03,7.787631750153976851e-02
8.749298597194389004e+03,7.673158499279786326e-02
8.761923847695390577e+03,7.563460107556269074e-02
8.774549098196393970e+03,7.459300128999303559e-02
8.787174348697395544e+03,7.360945773301867667e-02
8.799799599198397118e+03,7.268929804621110380e-02
8.812424849699398692e+03,7.183546566947765499e-02
8.825050100200400266e+03,7.103426463164250193e-02
8.837675350701403659e+03,7.027305252094274979e-02
8.850300601202405232e+03,6.955583379389658483e-02
8.862925851703406806e+03,6.886727046061068280e-02
8.875551102204408380e+03,6.820635584984230393e-02
8.888176352705409954e+03,6.756694555730934082e-02
8.900801603206413347e+03,6.693857413633723386e-02
8.913426853707414921e+03,6.631950234714807657e-02
8.926052104208416495e+03,6.570144889810511368e-02
8.938677354709418069e+03,6.507103843054994063e-02
8.951302605210419642e+03,6.442751701074921067e-02
8.963927855711423035e+03,6.376635645544746767e-02
8.976553106212424609e+03,6.308451523103122960e-02
8.989178356713428002e+03,6.238436599237742047e-02
9.001803607214429576e+03,6.167238671261102145e-02
9.014428857715431150e+03,6.094427471169647920e-02
9.027054108216432724e+03,6.020456881799240295e-02
9.039679358717434297e+03,5.946322450132889709e-02
9.052304609218437690e+03,5.872258475397524463e-02
9.064929859719439264e+03,5.798509170388942147e-02
9.077555110220440838e+03,5.725404843474727473e-02
9.090180360721442412e+03,5.653292291456231411e-02
9.102805611222445805e+03,5.582188462616751584e-02
9.115430861723447379e+03,5.512952306032755517e-02
9.128056112224448952e+03,5.446211100567199814e-02
9.140681362725450526e+03,5.381946773638088960e-02
9.153306613226452100e+03,5.320366209964134258e-02
9.165931863727453674e+03,5.260777879862474360e-02
9.178557114228457067e+03,5.203211134266990529e-02
9.191182364729460460e+03,5.147179850601302231e-02
9.203807615230462034e+03,5.093269256723479549e-02
9.216432865731463608e+03,5.040348575224408434e-02
9.229058116232465181e+03,4.988511257280778266e-02
9.241683366733466755e+03,4.937615620258498095e-02
9.254308617234468329e+03,4.886950216126097202e-02
9.266933867735471722e+03,4.836613555256501218e-02
9.279559118236473296e+03,4.786036432058567158e-02
9.292184368737474870e+03,4.735752471407855130e-02
9.304809619238476444e+03,4.684746103727902705e-02
9.317434869739479836e+03,4.633039274143516129e-02
9.330060120240481410e+03,4.580477102993506244e-02
9.342685370741482984e+03,4.527544591291531723e-02
9.355310621242484558e+03,4.473747860336151766e-02
9.367935871743486132e+03,4.419779345864896514e-02
