# wave, tp
8.241450000000000728e+03,1.133493393040352903e-01
8.250384969939879738e+03,1.139233355528111863e-01
8.259319939879760568e+03,1.144903985403391694e-01
8.268254909819639579e+03,1.149959270793931010e-01
8.277189879759518590e+03,1.155290655764162899e-01
8.286124849699399419e+03,1.160815707306178668e-01
8.295059819639278430e+03,1.166655057935505335e-01
8.303994789579159260e+03,1.172543319187550198e-01
8.312929759519038271e+03,1.179232330707478960e-01
8.321864729458917282e+03,1.186056915424385100e-01
8.330799699398798111e+03,1.192853868306286425e-01
8.339734669338677122e+03,1.199621151200114255e-01
8.348669639278557952e+03,1.206358886355323040e-01
8.357604609218436963e+03,1.213929318694243059e-01
8.366539579158315973e+03,1.221824162019933824e-01
8.375474549098196803e+03,1.229703854457479817e-01
8.384409519038075814e+03,1.237568180258887540e-01
8.393344488977956644e+03,1.246098474557939262e-01
8.402279458917835655e+03,1.254741596112868007e-01
8.411214428857714665e+03,1.263585146855068231e-01
8.420149398797595495e+03,1.272987071660552916e-01
8.429084368737474506e+03,1.282412535195320558e-01
8.438019338677355336e+03,1.291856589012879697e-01
8.446954308617234346e+03,1.301797769476395750e-01
8.455889278557115176e+03,1.311747888196005130e-01
8.464824248496994187e+03,1.321707783529058600e-01
8.473759218436873198e+03,1.331720227092434983e-01
8.482694188376754028e+03,1.341672803770312949e-01
8.491629158316633038e+03,1.351496756711625669e-01
8.500564128256513868e+03,1.361086234574910570e-01
8.509499098196392879e+03,1.369386810735278293e-01
8.518434068136271890e+03,1.377693391948743851e-01
8.527369038076152719e+03,1.386022855647518759e-01
8.536304008016031730e+03,1.394041416941195488e-01
8.545238977955912560e+03,1.402006650362465912e-01
8.554173947895791571e+03,1.409980383474625509e-01
8.563108917835670582e+03,1.417956544910194128e-01
8.572043887775551411e+03,1.425810301002832237e-01
8.580978857715430422e+03,1.433162303380628722e-01
8.589913827655311252e+03,1.440527522930348248e-01
8.598848797595190263e+03,1.447889013007815640e-01
8.607783767535069273e+03,1.455092996029963837e-01
8.616718737474950103e+03,1.461674844473863089e-01
8.625653707414829114e+03,1.468247638612685535e-01
8.634588677354709944e+03,1.474762264266936684e-01
8.643523647294588955e+03,1.481222010546813239e-01
8.652458617234467965e+03,1.486969336281324383e-01
8.661393587174348795e+03,1.492431637229301722e-01
8.670328557114227806e+03,1.497479172173452611e-01
8.679263527054108636e+03,1.502247077056371449e-01
8.688198496993987646e+03,1.506897512489387692e-01
8.697133466933868476e+03,1.510688319720097650e-01
8.706068436873747487e+03,1.514653973938639708e-01
8.715003406813626498e+03,1.518691632356016508e-01
8.723938376753507328e+03,1.522703816841969315e-01
8.732873346693386338e+03,1.526686913167599469e-01
8.741808316633267168e+03,1.529803165659867070e-01
8.750743286573146179e+03,1.533533858293774088e-01
8.759678256513025190e+03,1.537436752886575386e-01
8.768613226452906019e+03,1.540059126684253932e-01
8.777548196392785030e+03,1.543069779679749065e-01
8.786483166332665860e+03,1.546908077530866621e-01
8.795418136272544871e+03,1.550709394302497712e-01
8.804353106212423882e+03,1.554609874081283871e-01
8.813288076152304711e+03,1.558788669083029932e-01
8.822223046092185541e+03,1.562939431330605256e-01
8.831158016032064552e+03,1.567065620131494197e-01
8.840092985971943563e+03,1.571462761227955252e-01
8.849027955911822573e+03,1.576071548393503940e-01
8.857962925851703403e+03,1.580664349985722028e-01
8.866897895791584233e+03,1.585235782923100911e-01
8.875832865731463244e+03,1.589985189757932293e-01
8.884767835671344073e+03,1.595133120320537112e-01
8.893702805611221265e+03,1.600263905319392888e-01
8.902637775551102095e+03,1.605752761965529296e-01
8.911572745490982925e+03,1.611931968836857465e-01
8.920507715430861936e+03,1.618110577355438284e-01
8.929442685370742765e+03,1.624281192593714507e-01
8.938377655310621776e+03,1.631124263277160535e-01
8.947312625250500787e+03,1.637981700563038989e-01
8.956247595190381617e+03,1.644847865363952000e-01
8.965182565130260627e+03,1.652525909223007405e-01
8.974117535070141457e+03,1.660223152609789365e-01
8.983052505010020468e+03,1.667956572503068169e-01
8.991987474949899479e+03,1.676276208295674752e-01
9.000922444889780309e+03,1.685084934096011400e-01
9.009857414829659319e+03,1.697376039524735036e-01
9.018792384769540149e+03,1.709714562931617388e-01
9.027727354709419160e+03,1.722109549942879847e-01
9.036662324649298171e+03,1.734605450180254638e-01
9.045597294589179000e+03,1.747644734678469314e-01
9.054532264529058011e+03,1.760719509354426449e-01
9.063467234468938841e+03,1.773829958834927945e-01
9.072402204408817852e+03,1.786998834931740332e-01
9.081337174348698682e+03,1.800267454668749989e-01
9.090272144288577692e+03,1.813572748195240170e-01
9.099207114228456703e+03,1.826201995219225716e-01
9.108142084168337533e+03,1.839179078013567781e-01
9.117077054108216544e+03,1.853649112815711486e-01
9.126012024048095554e+03,1.867762086385030551e-01
9.134946993987976384e+03,1.881249418217841030e-01
9.143881963927855395e+03,1.894775601277998156e-01
9.152816933867736225e+03,1.907889280750558747e-01
9.161751903807615236e+03,1.921039289113087578e-01
9.170686873747496065e+03,1.934671739726304407e-01
9.179621843687375076e+03,1.948342760726255174e-01
9.188556813627254087e+03,1.961516140629076532e-01
9.197491783567134917e+03,1.974387659733070344e-01
9.206426753507013927e+03,1.987245762414195094e-01
9.215361723446894757e+03,1.999881587869906940e-01
9.224296693386773768e+03,2.012540333172777307e-01
9.233231663326652779e+03,2.025225852199705190e-01
9.242166633266533609e+03,2.037893198462181754e-01
9.251101603206412619e+03,2.050102974432901626e-01
9.260036573146293449e+03,2.061671748810633420e-01
9.268971543086172460e+03,2.073249776726676097e-01
9.277906513026051471e+03,2.084840613367412443e-01
9.286841482965932300e+03,2.096440440866930155e-01
9.295776452905811311e+03,2.107788065316356652e-01
9.304711422845692141e+03,2.118657210037226124e-01
9.313646392785571152e+03,2.129636613205843632e-01
9.322581362725450163e+03,2.140619566405322916e-01
9.331516332665330992e+03,2.151501677487003827e-01
9.340451302605210003e+03,2.162291420981485857e-01
9.349386272545090833e+03,2.173053244838721587e-01
9.358321242484969844e+03,2.183788029401463882e-01
9.367256212424850673e+03,2.194523360357500119e-01
9.376191182364729684e+03,2.204981565205156591e-01
