# wave, tp
9.700000000000000000e+03,2.506823087777643733e-01
9.718024849699399056e+03,2.463900447330430454e-01
9.736049699398798111e+03,2.456322639862247303e-01
9.754074549098195348e+03,2.493640299297108509e-01
9.772099398797594404e+03,2.572440157546425077e-01
9.790124248496993459e+03,2.690020972387778264e-01
9.808149098196392515e+03,2.818960101250514438e-01
9.826173947895791571e+03,2.951440269100833458e-01
9.844198797595190626e+03,3.067423039342596081e-01
9.862223647294589682e+03,3.164069993037804673e-01
9.880248496993986919e+03,3.233870819059077029e-01
9.898273346693387793e+03,3.271176206956207810e-01
9.916298196392785030e+03,3.288240955301909296e-01
9.934323046092184086e+03,3.295079677265963514e-01
9.952347895791583142e+03,3.300491861440256192e-01
9.970372745490982197e+03,3.306007525620938137e-01
9.988397595190379434e+03,3.321819497817146694e-01
1.000642244488978031e+04,3.345273854201143982e-01
1.002444729458917755e+04,3.371086223209672217e-01
1.004247214428857660e+04,3.407797827862358853e-01
1.006049699398797566e+04,3.444703504884043532e-01
1.007852184368737289e+04,3.484040388194869498e-01
1.009654669338677377e+04,3.523228320296271643e-01
1.011457154308617282e+04,3.557596007562869866e-01
1.013259639278557188e+04,3.584546598092766545e-01
1.015062124248496912e+04,3.604860935680752054e-01
1.016864609218436817e+04,3.621117633534877145e-01
1.018667094188376723e+04,3.625575113525421056e-01
1.020469579158316628e+04,3.632231506126988863e-01
1.022272064128256534e+04,3.637297463375943063e-01
1.024074549098196439e+04,3.641447243540120726e-01
1.025877034068136163e+04,3.650654417834308663e-01
1.027679519038076069e+04,3.661975895398443814e-01
1.029482004008015974e+04,3.679807661308665545e-01
1.031284488977955698e+04,3.705861737628746155e-01
1.033086973947895785e+04,3.740073426189461370e-01
1.034889458917835691e+04,3.780525737765538796e-01
1.036691943887775597e+04,3.824282430285562140e-01
1.038494428857715320e+04,3.871324845051968833e-01
1.040296913827655226e+04,3.922424337627019031e-01
1.042099398797595313e+04,3.972473213371523482e-01
1.043901883767535037e+04,4.024605919212364546e-01
1.045704368737474942e+04,4.068927302446029293e-01
1.047506853707414848e+04,4.112187456818494069e-01
1.049309338677354572e+04,4.145975450452382693e-01
1.051111823647294477e+04,4.174497045691236141e-01
1.052914308617234383e+04,4.195012034372688770e-01
1.054716793587174470e+04,4.208796953211453307e-01
1.056519278557114194e+04,4.216159202518730553e-01
