# wave, tp
1.660000000000000000e+04,2.654000623808759896e-01
1.662926733466933729e+04,2.715920735295523358e-01
1.665853466933867458e+04,2.796561168291100685e-01
1.668780200400801550e+04,2.815237501961617705e-01
1.671706933867735643e+04,2.834211230664065440e-01
1.674633667334669371e+04,2.845206771308219640e-01
1.677560400801603100e+04,2.851070328712542734e-01
1.680487134268537193e+04,2.853851133284275865e-01
1.683413867735470922e+04,2.844011928053543081e-01
1.686340601202404650e+04,2.832730312045028676e-01
1.689267334669338379e+04,2.819954357453497984e-01
1.692194068136272472e+04,2.815176956417014265e-01
1.695120801603206564e+04,2.811672931606680748e-01
1.698047535070140293e+04,2.812314717118959417e-01
1.700974268537074022e+04,2.821646835159091204e-01
1.703901002004008114e+04,2.831804232872036087e-01
1.706827735470941843e+04,2.847371106971416932e-01
1.709754468937875572e+04,2.863043354145336505e-01
1.712681202404809301e+04,2.885917679264218272e-01
1.715607935871743393e+04,2.913133674565770992e-01
1.718534669338677486e+04,2.943519158791524370e-01
1.721461402805611215e+04,2.974394450106727650e-01
1.724388136272544943e+04,3.010568280996189783e-01
1.727314869739479036e+04,3.051011800517285932e-01
1.730241603206412765e+04,3.091522137871219322e-01
1.733168336673346494e+04,3.134437152767408086e-01
1.736095070140280586e+04,3.186616951021995492e-01
1.739021803607214315e+04,3.238981628446515604e-01
1.741948537074148408e+04,3.278914828413532767e-01
1.744875270541082136e+04,3.315877521711061982e-01
1.747802004008015865e+04,3.353133859458731769e-01
1.750728737474949958e+04,3.391401992951781352e-01
1.753655470941883686e+04,3.429946166030350962e-01
1.756582204408817415e+04,3.466995327409557737e-01
1.759508937875751508e+04,3.503292543962684413e-01
1.762435671342685237e+04,3.535850847265077923e-01
1.765362404809619329e+04,3.560948608886309596e-01
1.768289138276553058e+04,3.581220473822880335e-01
1.771215871743486787e+04,3.600326875458605413e-01
1.774142605210420879e+04,3.612199996554127934e-01
1.777069338677354608e+04,3.624084854223117436e-01
1.779996072144288337e+04,3.634785190314074876e-01
1.782922805611222429e+04,3.645367894726520563e-01
1.785849539078156158e+04,3.652424489443200084e-01
1.788776272545090251e+04,3.649733898297956580e-01
1.791703006012023980e+04,3.652788228610501786e-01
1.794629739478957708e+04,3.659067541214384711e-01
1.797556472945891801e+04,3.665286734633105281e-01
1.800483206412825530e+04,3.670424516674442583e-01
1.803409939879759258e+04,3.670467215242739223e-01
1.806336673346693351e+04,3.677082166571457589e-01
1.809263406813627444e+04,3.685792330729572019e-01
1.812190140280561172e+04,3.696558548045311143e-01
1.815116873747494901e+04,3.712142983050031875e-01
1.818043607214428994e+04,3.727625588031298065e-01
1.820970340681362723e+04,3.743603289014894586e-01
1.823897074148296451e+04,3.768010186340675083e-01
1.826823807615230180e+04,3.792429661023561382e-01
1.829750541082164273e+04,3.822896149283834255e-01
1.832677274549098001e+04,3.858700445237268628e-01
1.835604008016032094e+04,3.890754601221417253e-01
1.838530741482965823e+04,3.923374166971594912e-01
