# wave, tp
2.870000000000000000e+04,3.279011194227985926e-01
2.874623086172344847e+04,3.367984692738996699e-01
2.879246172344689330e+04,3.457295028823749727e-01
2.883869258517034177e+04,3.546947772024374723e-01
2.888492344689378660e+04,3.637269115876529679e-01
2.893115430861723507e+04,3.728602450510669075e-01
2.897738517034068354e+04,3.827488855258219802e-01
2.902361603206412838e+04,3.926796607756768420e-01
2.906984689378757685e+04,4.026112092778266205e-01
2.911607775551102532e+04,4.126108889467091090e-01
2.916230861723447015e+04,4.192656951301938495e-01
2.920853947895791862e+04,4.252719192302187867e-01
2.925477034068136345e+04,4.312856378530656731e-01
2.930100120240481192e+04,4.373101428498026300e-01
2.934723206412826039e+04,4.433572507526284956e-01
2.939346292585170158e+04,4.492929998974692363e-01
2.943969378757515369e+04,4.553212798210298784e-01
2.948592464929859489e+04,4.614236034165823952e-01
2.953215551102204336e+04,4.675328508095032420e-01
2.957838637274549183e+04,4.730258749128339324e-01
2.962461723446893666e+04,4.785045440210024537e-01
2.967084809619238513e+04,4.840295078801983841e-01
2.971707895791583360e+04,4.895476519551605343e-01
2.976330981963927843e+04,4.938782573126785369e-01
2.980954068136272690e+04,4.978733085638335498e-01
2.985577154308617173e+04,5.019019215297562120e-01
2.990200240480962020e+04,5.057338205900820949e-01
2.994823326653306867e+04,5.091741987267871528e-01
2.999446412825651350e+04,5.126316519213452993e-01
3.004069498997996197e+04,5.140599690427887225e-01
3.008692585170340681e+04,5.150383649427616728e-01
3.013315671342685528e+04,5.159679119902914612e-01
3.017938757515030375e+04,5.166210055800969370e-01
3.022561843687374858e+04,5.172252997893521664e-01
3.027184929859719705e+04,5.178311833720486979e-01
3.031808016032064552e+04,5.184623381014790144e-01
3.036431102204408671e+04,5.191174375525954288e-01
3.041054188376753518e+04,5.194188049749126623e-01
3.045677274549098001e+04,5.197650343683282159e-01
3.050300360721442848e+04,5.199631928101393630e-01
3.054923446893787695e+04,5.179296542562926708e-01
3.059546533066132179e+04,5.159633241725309905e-01
3.064169619238477026e+04,5.140457666046802654e-01
3.068792705410821873e+04,5.121486696582707721e-01
3.073415791583166356e+04,5.102018618755537194e-01
3.078038877755511203e+04,5.082399704786284556e-01
3.082661963927855686e+04,5.063100929467814204e-01
3.087285050100200533e+04,5.044488050966657866e-01
3.091908136272545380e+04,5.026034579877941555e-01
3.096531222444889863e+04,5.007501128956795000e-01
3.101154308617234710e+04,5.003113016478418773e-01
3.105777394789579557e+04,5.042502980809637769e-01
3.110400480961924040e+04,5.082960361826757145e-01
3.115023567134268887e+04,5.123932264307536899e-01
3.119646653306613007e+04,5.165147092970682197e-01
3.124269739478957854e+04,5.206742771947456827e-01
3.128892825651302337e+04,5.247381634293436514e-01
